date,user_id,location,tweet
2017-04-04,832689379457986560,"FortCollins, CO","This is it, Election day! Any last minute votes have until 7pm, get those last few votes in, and help us make an impact! #votekwonatlas pic.twitter.com/jZ8btNjDNr"
2017-04-04,832689379457986560,"FortCollins, CO","This is it, Election day! Any last minute votes have until 7pm, get those last few votes in, and help us make an impact! #votekwonatlas pic.twitter.com/jZ8btNjDNr"
2016-12-28,104739297,"Wyoming, USA",HB0068 [NEW] Election ballots. http://bitly.com/WMhDOh 
2016-11-11,14318489,"FortCollins, CO",Election hangover. Day 3. @ Stevaker  https://www.instagram.com/p/BMrUFrmgKx9/ 
2016-11-09,14098069,Laramie,Getting back into the swing of things post election. That's being happy and lovey and floaty around everyone important c:
2016-11-09,261317666,Greeley,This is how you should watch the election returns. #kittehtherapy #oliveregg…  https://www.instagram.com/p/BMmVnkQgT_-/ 
2016-11-09,3185644388,"FortCollins, CO",After election hangover? We have plenty of smudge sticks. <Emoji: Heavy red heart>#selfempowerment #smudgestick…  https://www.instagram.com/p/BMmAGY9guaX/ 
2016-11-09,460608097,,"CTV produced their first live election show, and I got to host with…  https://www.instagram.com/p/BMl8cz2AH4-A1lKyOw0YMy2sSKu0RdpSC08abg0/ …"
2016-11-08,41505058,"Denver, CO",The cure for Election Day anxiety. @ Horsetooth Reservoir  https://www.instagram.com/p/BMj848GAUp3/ 
2016-11-08,1005481352,DFW,<Emoji: Clinking beer mugs><Emoji: Clinking beer mugs><Emoji: Fire><Emoji: Up-pointing red triangle>Come out and Celebrate the end of this Election <Emoji: Hundred points symbol><Emoji: Up-pointing red triangle><Emoji: Fire><Emoji: Clinking beer mugs><Emoji: Clinking beer mugs>Great Music Great Vibes Great Drinks…  https://www.instagram.com/p/BMj5e-nFtaW/ 
2016-11-08,140449390,Colorado,"Election Day workout! #dontboovote (@ CSU Athletic Training Room in Fort Collins, CO) https://www.swarmapp.com/c/7lKi1dAMaUJ "
2016-11-08,874181472,"FortCollins, CO",Today is Election Day! Let your voice be heard and go vote! @ The Grove Ft Collins  https://www.instagram.com/p/BMjnwtaheL3/ 
2016-11-08,308726183,"Colorado, USA",Election day is one of my favorite days.
2016-11-08,4265450610,"FortCollins, CO",It's Election Day!! Make sure to go vote and do your civic duty... and rep love your melon of…  https://www.instagram.com/p/BMjhZchDrTb/ 
2016-10-21,14318489,"FortCollins, CO",Election 2016 ballot filled out and delivered to a secure (looks like) drop-box at the Larimer…  https://www.instagram.com/p/BL11U1fAB14/ 
2016-10-17,1434029929,,"I still think he really never wanted to be pres. He is setting himself up to remain in the press after he loses. ""Rigged election"" etc."
