,score,state
0,0.6,alaska
1,0.5616438356164384,alabama
2,0.625,arkansas
3,0.472636815920398,arizona
4,0.49676898222940225,california
5,0.5714285714285714,colorado
6,0.6470588235294118,connecticut
7,0.5613207547169812,delaware
8,0.5,florida
9,0.5166240409207161,georgia
10,0.5074626865671642,hawaii
11,0.7777777777777778,iowa
12,0.45,idaho
13,0.4806378132118451,illinois
14,0.45365853658536587,indiana
15,0.21428571428571427,kansas
16,0.4444444444444444,kentucky
17,0.7538461538461538,louisiana
18,0.4377431906614786,massachusetts
19,0.5408745247148289,maryland
20,0.5555555555555556,maine
21,0.49327354260089684,michigan
22,0.6030534351145038,minnesota
23,0.6233766233766234,missouri
24,0.5294117647058824,mississippi
25,0.0,montana
26,0.45528455284552843,north carolina
27,0.5,north dakota
28,0.6071428571428571,nebraska
29,0.55,new hampshire
30,0.5497498610339078,new jersey
31,0.6818181818181818,new mexico
32,0.49214659685863876,nevada
33,0.567693201626961,new york
34,0.5,ohio
35,0.5671641791044776,oklahoma
36,0.5714285714285714,oregon
37,0.55625,pennsylvania
38,0.6153846153846154,rhode island
39,0.703125,south carolina
40,0.0,south dakota
41,0.5,tennessee
42,0.5833333333333334,texas
43,0.4931506849315068,utah
44,0.41304347826086957,virginia
45,0.4444444444444444,vermont
46,0.5425101214574899,washington
47,0.4672897196261682,wisconsin
48,0.8235294117647058,west virginia
49,0.625,wyoming
